COdigo Baremo;Descricao;VOZ;Tipo veIculo (Recurso);Escopo do problema (Ambito);Elemento Problema (Elemento);PrestaCAo;PrestaCAo_NIvel de TensAo;COdigo ACAo;Descricao acao;UN de Medida
3000020386;Amarração de árvores com corda (Vegetação);TBR120;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0614;WB0614_BT;154;AMARRACAO DE ARVORES COM CORDA;UN
3000019681;Aplicação de grupo gerador > 160 kVA (Energia emergencial / alta potência);GHO103;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0387;WB0387_BT;155;APLICACAO DE GRUPO GERADOR MAIOR QUE 160 KVA;UN
3000019758;Recondicionar, alinhar, aprumar ou verticalizar poste MT ou BT (Infraestrutura);AHO118;BT;Rede BT;BT - LBT - Cabo aEreo;WB0111;WB0111_BT;254;RECONDICIONAR, ALINHAR, APRUMAR OU VERTICALIZAR POSTE MT OU BT;UN
3000019491;Aviso de desligamento com assinatura (Comunicação);AHO722;BT;Rede BT;BT - LBT - Cabo aEreo;WB0200;WB0200_BT;467;AVISO DE DESLIGAMENTO COM ASSINATURA;UN
3000019988;Aviso de desligamento com assinatura (Comunicação);AHO722;BT;Rede BT;BT - LBT - Cabo aEreo;WB0200;WB0200_BT;467;AVISO DE DESLIGAMENTO COM ASSINATURA;UN
3000019489;Aviso de desligamento sem assinatura (Comunicação);AHO721;BT;Rede BT;BT - LBT - Cabo aEreo;WB0199;WB0199_BT;168;AVISO DE DESLIGAMENTO SEM ASSINATURA;UN
3000019986;Aviso de desligamento sem assinatura (Comunicação);AHO721;BT;Rede BT;BT - LBT - Cabo aEreo;WB0199;WB0199_BT;168;AVISO DE DESLIGAMENTO SEM ASSINATURA;UN
5000002746;Conexão de pontes bypass de média tensão com linha viva em substituição (Rede elétrica MT);ABR513;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0698;WB0698_MT;158;CONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA EM SUBSTITUICAO;CJT
5000003128;Conexão de pontes bypass de média tensão com linha viva em substituição (Rede elétrica MT);ABR513;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0698;WB0698_MT;158;CONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA EM SUBSTITUICAO;CJT
3000008024;Conexão de pontes bypass de média tensão com linha viva (Rede elétrica MT);ABR511;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0694;WB0694_MT;157;CONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA;CJT
3000008033;Conexão de pontes bypass de média tensão com linha viva (Rede elétrica MT);ABR511;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0694;WB0694_MT;157;CONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA;CJT
3000019856;Corte de bambu – sem retirada de resíduos (Vegetação);TBR128;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0621;WB0621_BT;163;CORTE DE BAMBU - SEM RETIRADA DE RESIDUOS;UN
3000020390;Corte de bambu – sem retirada de resíduos (Vegetação);TBR128;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0621;WB0621_BT;163;CORTE DE BAMBU - SEM RETIRADA DE RESIDUOS;UN
3000019845;Corte de área arborizada em linha de média tensão (Vegetação);THO104;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0637;WB0637_MT;159;CORTE DE AREA ARBORIZADA EM LINHA DE MEIA TENSAO;m2
3000020379;Corte de área arborizada em linha de média tensão (Vegetação);THO104;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0637;WB0637_MT;159;CORTE DE AREA ARBORIZADA EM LINHA DE MEIA TENSAO;m2
3000019853;Corte de árvore isolada em linha de baixa tensão (Vegetação);THO113;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0645;WB0645_BT;160;CORTE DE ARVORE ISOLADA EM LINHA DE BAIXA TENSAO;UN
3000020387;Corte de árvore isolada em linha de baixa tensão (Vegetação);THO113;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0645;WB0645_BT;160;CORTE DE ARVORE ISOLADA EM LINHA DE BAIXA TENSAO;UN
3000019854;Corte de árvore isolada em linha de média tensão (Vegetação);THO105;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0638;WB0638_MT;161;CORTE DE ARVORE ISOLADA EM LINHA DE MEDIA TENSAO;UN
3000020388;Corte de árvore isolada em linha de média tensão (Vegetação);THO105;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0638;WB0638_MT;161;CORTE DE ARVORE ISOLADA EM LINHA DE MEDIA TENSAO;UN
3000019855;Corte de bambu – com retirada de resíduos (Vegetação);TBR117;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0612;WB0612_BT;162;CORTE DE BAMBU - COM RETIRADA DE RESIDUOS;UN
5000003129;Desconexão de pontes bypass de média tensão com linha viva em substituição (Rede elétrica MT);ABR514;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0700;WB0700_MT;165;DESCONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA  EM SUBSTITUICAO;CJT
5000002775;Desconexão de pontes bypass de média tensão com linha viva (Rede elétrica MT);ABR512;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0696;WB0696_MT;164;DESCONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA;CJT
5000003285;Desconexão de pontes bypass de média tensão com linha viva (Rede elétrica MT);ABR512;MT;Linha MT;MT - LMT - Rede AErea Nua;WB0696;WB0696_MT;164;DESCONEXAO DE PONTES (BYPASS) DE MEDIA TENSAO COM LINHA VIVA;CJT
3000021627;Destrancar e separar redes MT e BT (Rede elétrica);ABR232;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0043;WB0043_BT;166;DESTRANCAR E SEPARAR REDES MT E BT;UN
3000019524;Diagnóstico do centro de transformação MT-BT (Inspeção);FHO120;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0327;WB0327_BT;167;DIAGNOSTICO DO CENTRO DE TRANSFORMACAO MT BT;UN
3000022249;Reapertos e ajustes em estrutura, UC, equipamento de MT e BT (Manutenção elétrica);ABR238;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0049;WB0049_BT;252;REAPERTOS E APARUSACOES EM ESTRUTURA, UC, EQUIPAMENTO DE MT E BT;UN
5000003281;Reapertos e ajustes em estrutura, UC, equipamento de MT e BT (Manutenção elétrica);ABR238;BT;Rede BT;BT - LBT - Rede AErea Nua;WB0049;WB0049_BT;252;REAPERTOS E APARUSACOES EM ESTRUTURA, UC, EQUIPAMENTO DE MT E BT;UN
3000019846;Estrada de acesso ou abertura/limpeza de faixa de servidão para terreno sem aclive e/ou sem pedras (Infraestrutura);TBR122;AT;Linha AT;AT - LDAT - Rede aErea nua;WB0615;WB0615_AT;169;ESTRADA DE ACESSO OU ABERTURA/LIMPEZA DE FAIXA DE SERVIDAO PARA TERRENO SEM ACLIVE E/OU SEM PEDRAS;m2
